DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	1p13.3	1	109279175	CELSR2, PSRC1	CELSR2 - PSRC1	ENSG00000143126	ENSG00000134222		3424	381	rs4970836-G	rs4970836	0	4970836	intergenic_variant	1	0.2367	3E-8	7.522878745280337				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	1p13.2	1	113630788	MAGI3	MAGI3			ENSG00000081026			rs1230666-G	rs1230666	0	1230666	intron_variant	0	0.8533	2E-9	8.698970004336019				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	2p23.3	2	26710019	KCNK3	KCNK3			ENSG00000171303			rs1275922-G	rs1275922	0	1275922	intron_variant	0	0.74	2E-8	7.698970004336019				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	2q33.1	2	201288502	CASP8/ALS2CR12	FLACC1, CASP8			ENSG00000155749, ENSG00000064012			rs700635-A	rs700635	0	700635	3_prime_UTR_variant	0	0.7233	2E-8	7.698970004336019				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	3p24.1	3	27521497	SLC4A7	RNU1-96P - Y_RNA	ENSG00000201033	ENSG00000207127		7465	26260	rs2643826-C	rs2643826	0	2643826	regulatory_region_variant	1	0.5533	4E-8	7.3979400086720375				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	4p16.3	4	3087837	HTT	HTT			ENSG00000197386			rs61348208-T	rs61348208	0	61348208	intron_variant	0	0.3967	3E-8	7.522878745280337				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	4p14	4	38383858	LINC02513	LINC02513			ENSG00000248227			rs17499404-A	rs17499404	0	17499404	intron_variant	0	0.5367	4E-8	7.3979400086720375				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	6p25.3	6	396321	DUSP22, IRF4	IRF4			ENSG00000137265			rs12203592-C	rs12203592	0	12203592	intron_variant	0	0.81	8E-26	25.096910013008056				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	6p21.32	6	32622991	HLA-DRB1, HLA-DQA1	HLA-DRB1 - HLA-DQA1	ENSG00000196126	ENSG00000196735		33143	5188	rs34831921-A	rs34831921	0	34831921	TF_binding_site_variant	1	0.1	6E-13	12.221848749616356				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	6q21	6	108685635	FOXO3	FOXO3 - LINC00222	ENSG00000118689	ENSG00000203801		861	66019	rs1159806-T	rs1159806	0	1159806	regulatory_region_variant	1	0.3467	1E-8	8.0				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
